 written on 22Jun2026 at 19:46:04 
           2
         149
    1    1    2    2    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    2    2    1    1
   -7   -4    0    1    1    0.008133   -0.000000
   -7   -4    0    2    1   -0.000867   -0.000005
   -7   -4    0    1    2   -0.012851    0.000070
   -7   -4    0    2    2    0.005821    0.000000
   -7   -3    0    1    1    0.008133   -0.000000
   -7   -3    0    2    1    0.000037    0.000000
   -7   -3    0    1    2   -0.009592    0.000053
   -7   -3    0    2    2    0.005821    0.000000
   -7   -2    0    1    1    0.007210   -0.000000
   -7   -2    0    2    1   -0.000867   -0.000005
   -7   -2    0    1    2   -0.001525    0.000008
   -7   -2    0    2    2    0.002922   -0.000000
   -6   -6    0    1    1    0.010875   -0.000000
   -6   -6    0    2    1   -0.008323   -0.000046
   -6   -6    0    1    2   -0.008323    0.000046
   -6   -6    0    2    2    0.004875    0.000000
   -6   -5    0    1    1    0.003332   -0.000000
   -6   -5    0    2    1   -0.003017   -0.000017
   -6   -5    0    1    2   -0.001525    0.000008
   -6   -5    0    2    2   -0.000488    0.000000
   -6   -4    0    1    1   -0.010324   -0.000000
   -6   -4    0    2    1    0.009099    0.000050
   -6   -4    0    1    2    0.007115   -0.000039
   -6   -4    0    2    2   -0.009705    0.000000
   -6   -3    0    1    1   -0.016226   -0.000000
   -6   -3    0    2    1    0.016302    0.000089
   -6   -3    0    1    2    0.007115   -0.000039
   -6   -3    0    2    2   -0.013275    0.000000
   -6   -2    0    1    1   -0.010324   -0.000000
   -6   -2    0    2    1    0.016302    0.000089
   -6   -2    0    1    2   -0.001525    0.000008
   -6   -2    0    2    2   -0.009705    0.000000
   -6   -1    0    1    1    0.003332    0.000000
   -6   -1    0    2    1    0.009099    0.000050
   -6   -1    0    1    2   -0.008323    0.000046
   -6   -1    0    2    2   -0.000488    0.000000
   -6    0    0    1    1    0.010875   -0.000000
   -6    0    0    2    1   -0.003017   -0.000017
   -6    0    0    1    2   -0.003017    0.000017
   -6    0    0    2    2    0.004875    0.000000
   -5   -7    0    1    1    0.007210   -0.000000
   -5   -7    0    2    1   -0.009592   -0.000052
   -5   -7    0    1    2   -0.003254    0.000018
   -5   -7    0    2    2    0.002922   -0.000000
   -5   -6    0    1    1    0.003332   -0.000000
   -5   -6    0    2    1   -0.001525   -0.000008
   -5   -6    0    1    2   -0.003017    0.000016
   -5   -6    0    2    2   -0.000488    0.000000
